Product_Name,Colour,Storage_Capacity,Sale_Price,Mrp,Discount_Percentage,Number_Of_Ratings,Number_Of_Reviews,Upc,Star_Rating,Ram,Price_Category,RAM_Category,Revenue,Total_Engagement,Discount_Amount,Quantity_Sold,Revenue(text)
"Apple iPhone 8 Plus ",Gold," 64 GB",49900,49900,0,3431,356,MOBEXRGV7EHHTGUH,4.6,"2 GB",Medium,Low,17120690.00,3787,0.00,343,"1.71 crores"
"Apple iPhone 8 Plus ","Space Grey"," 256 GB",84900,84900,0,3431,356,MOBEXRGVAC6TJT4F,4.6,"2 GB",High,Low,29129190.00,3787,0.00,343,"2.91 crores"
"Apple iPhone 8 Plus ",Silver," 256 GB",84900,84900,0,3431,356,MOBEXRGVGETABXWZ,4.6,"2 GB",High,Low,29129190.00,3787,0.00,343,"2.91 crores"
"Apple iPhone 8 ",Silver," 256 GB",77000,77000,0,11202,794,MOBEXRGVMZWUHCBA,4.5,"2 GB",High,Low,86255400.00,11996,0.00,1120,"8.63 crores"
"Apple iPhone 8 ",Gold," 256 GB",77000,77000,0,11202,794,MOBEXRGVPK7PFEJZ,4.5,"2 GB",High,Low,86255400.00,11996,0.00,1120,"8.63 crores"
"Apple iPhone 8 Plus ",Silver," 64 GB",49900,49900,0,3431,356,MOBEXRGVQGYYP8FV,4.6,"2 GB",Medium,Low,17120690.00,3787,0.00,343,"1.71 crores"
"Apple iPhone 8 Plus ","Space Grey"," 64 GB",49900,49900,0,3431,356,MOBEXRGVQKBREZP8,4.6,"2 GB",Medium,Low,17120690.00,3787,0.00,343,"1.71 crores"
"Apple iPhone 8 ","Space Grey"," 256 GB",77000,77000,0,11202,794,MOBEXRGVZFZGZEWV,4.5,"2 GB",High,Low,86255400.00,11996,0.00,1120,"8.63 crores"
"Apple iPhone XS Max ",Silver," 64 GB",89900,89900,0,1454,149,MOBF944E2XAHW8V5,4.6,"4 GB",High,Medium,13071460.00,1603,0.00,145,"1.31 crores"
"Apple iPhone XR ",,,41999,52900,20,79512,6796,MOBF9Z7ZHQC23PWQ,4.6,"4 GB",Medium,Medium,333942448.80,86308,10901.00,7951,"33.39 crores"
"Apple iPhone XR ",Black," 64 GB ",39999,47900,16,79512,6796,MOBF9Z7ZPHGV4GNH,4.6,"4 GB",Medium,Medium,318040048.80,86308,7901.00,7951,"31.80 crores"
